sagecode,item,domsupply,foodsupply,feedsupply,otherutil,foodfraction,feedfraction,otherutilfraction
ARM,Barley,63714.28571,6571.428571,40285.71429,16857.14286,0.103139013,0.632286996,0.264573991
AUS,Barley,2263142.857,0,2198428.571,64714.28571,0,0.971405126,0.028594874
AUT,Barley,997000,3142.857143,960428.5714,33428.57143,0.003152314,0.963318527,0.033529159
AZE,Barley,205000,64285.71429,132714.2857,8000,0.31358885,0.64738676,0.03902439
BHA,Barley,3142.857143,3142.857143,0,0,1,0,0
BGD,Barley,4428.571429,3000,857.1428571,571.4285714,0.677419355,0.193548387,0.129032258
BAR,Barley,2000,285.7142857,1714.285714,0,0.142857143,0.857142857,0
BLR,Barley,1497714.286,93857.14286,1349714.286,54142.85714,0.062666921,0.901182755,0.036150324
BEL,Barley,351142.8571,1142.857143,347428.5714,2571.428571,0.003254679,0.989422295,0.007323027
BZE,Barley,1571.428571,1571.428571,0,0,1,0,0
BEN,Barley,5857.142857,5857.142857,0,0,1,0,0
BOL,Barley,81714.28571,40857.14286,38857.14286,2000,0.5,0.475524476,0.024475524
BIH,Barley,72000,25142.85714,45714.28571,1142.857143,0.349206349,0.634920635,0.015873016
BWA,Barley,11142.85714,10285.71429,0,857.1428571,0.923076923,0,0.076923077
BRA,Barley,1198857.143,1007142.857,178571.4286,13142.85714,0.840085796,0.148951382,0.010962822
BGR,Barley,594428.5714,135285.7143,442428.5714,16714.28571,0.227589522,0.744292237,0.028118241
BFA,Barley,11428.57143,11428.57143,0,0,1,0,0
BDI,Barley,12428.57143,12428.57143,0,0,1,0,0
KHM,Barley,6428.571429,6428.571429,0,0,1,0,0
CMR,Barley,78428.57143,78428.57143,0,0,1,0,0
CAN,Barley,9502285.714,13571.42857,9474714.286,14000,0.001428228,0.997098442,0.00147333
CPV,Barley,428.5714286,428.5714286,0,0,1,0,0
CAF,Barley,2714.285714,2714.285714,0,0,1,0,0
TCD,Barley,1142.857143,1142.857143,0,0,1,0,0
CHL,Barley,74000,44142.85714,18285.71429,11571.42857,0.596525097,0.247104247,0.156370656
CHN,Barley,5243714.286,4720714.286,259285.7143,263714.2857,0.900261538,0.049446957,0.050291505
COL,Barley,197285.7143,183857.1429,10285.71429,3142.857143,0.931933382,0.052136133,0.015930485
COG,Barley,8000,8000,0,0,1,0,0
COS,Barley,21857.14286,21857.14286,0,0,1,0,0
HRV,Barley,185571.4286,0,182285.7143,3285.714286,0,0.982294072,0.017705928
CUB,Barley,32285.71429,31285.71429,428.5714286,571.4285714,0.969026549,0.013274336,0.017699115
CYP,Barley,332714.2857,0,332285.7143,428.5714286,0,0.998711894,0.001288106
CZE,Barley,1662857.143,571.4285714,1646428.571,15857.14286,0.000343643,0.990120275,0.009536082
CIV,Barley,22714.28571,22714.28571,0,0,1,0,0
PRK,Barley,70571.42857,61000,5285.714286,4285.714286,0.86437247,0.074898785,0.060728745
ZAR,Barley,17714.28571,17714.28571,0,0,1,0,0
DNK,Barley,2955571.429,0,2839428.571,116142.8571,0,0.960703756,0.039296244
DMI,Barley,285.7142857,285.7142857,0,0,1,0,0
DOM,Barley,33857.14286,28571.42857,5285.714286,0,0.843881857,0.156118143,0
ECU,Barley,60142.85714,57285.71429,1428.571429,1428.571429,0.952494062,0.023752969,0.023752969
EGY,Barley,153571.4286,40428.57143,101714.2857,11428.57143,0.263255814,0.662325581,0.074418605
ELS,Barley,10857.14286,10857.14286,0,0,1,0,0
ERI,Barley,26857.14286,25142.85714,0,1714.285714,0.936170213,0,0.063829787
EST,Barley,275142.8571,14857.14286,256714.2857,3571.428571,0.053997923,0.933021807,0.01298027
ETH,Barley,978571.4286,926285.7143,0,52285.71429,0.946569343,0,0.053430657
