,p_adj,unit,geotime,product,year,priceIDX
594,NI,I15,MT,039900,2021,
595,NI,I15,NL,039900,2021,
596,NI,I15,RO,039900,2021,
597,NI,I15,AT,040000,2021,113.7
598,NI,I15,BE,040000,2021,136.68
599,NI,I15,BG,040000,2021,116.78
600,NI,I15,CY,040000,2021,88.52
601,NI,I15,CZ,040000,2021,115.6
602,NI,I15,DE,040000,2021,125.0
603,NI,I15,DK,040000,2021,113.26
604,NI,I15,EE,040000,2021,131.6
605,NI,I15,EL,040000,2021,109.88
606,NI,I15,ES,040000,2021,98.7
607,NI,I15,EU27_2020,040000,2021,
608,NI,I15,EU28,040000,2021,
609,NI,I15,FI,040000,2021,120.44
610,NI,I15,FR,040000,2021,116.0
611,NI,I15,HR,040000,2021,120.16
612,NI,I15,HU,040000,2021,144.08
613,NI,I15,IE,040000,2021,105.12
614,NI,I15,IT,040000,2021,114.8
615,NI,I15,LT,040000,2021,129.91
616,NI,I15,LU,040000,2021,130.08
617,NI,I15,LV,040000,2021,139.22
618,NI,I15,MT,040000,2021,105.27
619,NI,I15,NL,040000,2021,118.1
620,NI,I15,PL,040000,2021,
621,NI,I15,PT,040000,2021,114.91
622,NI,I15,RO,040000,2021,164.11
623,NI,I15,SE,040000,2021,136.08
624,NI,I15,SI,040000,2021,124.4
625,NI,I15,SK,040000,2021,130.3
626,NI,I15,UK,040000,2021,
627,NI,I15,AT,041000,2021,115.4
628,NI,I15,BE,041000,2021,126.99
629,NI,I15,BG,041000,2021,117.35
630,NI,I15,CY,041000,2021,87.5
631,NI,I15,CZ,041000,2021,114.8
632,NI,I15,DE,041000,2021,127.2
633,NI,I15,DK,041000,2021,127.58
634,NI,I15,EE,041000,2021,127.85
635,NI,I15,EL,041000,2021,110.31
636,NI,I15,ES,041000,2021,98.3
637,NI,I15,EU27_2020,041000,2021,
638,NI,I15,EU28,041000,2021,
639,NI,I15,FI,041000,2021,124.66
640,NI,I15,FR,041000,2021,121.83
641,NI,I15,HR,041000,2021,114.81
642,NI,I15,HU,041000,2021,143.57
643,NI,I15,IE,041000,2021,105.12
644,NI,I15,IT,041000,2021,113.9
645,NI,I15,LT,041000,2021,129.91
646,NI,I15,LU,041000,2021,130.08
647,NI,I15,LV,041000,2021,143.91
648,NI,I15,MT,041000,2021,105.27
649,NI,I15,NL,041000,2021,98.8
650,NI,I15,PL,041000,2021,
651,NI,I15,PT,041000,2021,115.38
652,NI,I15,RO,041000,2021,164.28
653,NI,I15,SE,041000,2021,118.67
654,NI,I15,SI,041000,2021,128.07
655,NI,I15,SK,041000,2021,130.3
656,NI,I15,UK,041000,2021,
657,NI,I15,AT,041100,2021,
658,NI,I15,BE,041100,2021,
659,NI,I15,CY,041100,2021,
660,NI,I15,CZ,041100,2021,
661,NI,I15,DE,041100,2021,
662,NI,I15,DK,041100,2021,
663,NI,I15,EL,041100,2021,
664,NI,I15,ES,041100,2021,
665,NI,I15,EU27_2020,041100,2021,
666,NI,I15,EU28,041100,2021,
667,NI,I15,FI,041100,2021,
668,NI,I15,FR,041100,2021,
669,NI,I15,HR,041100,2021,
670,NI,I15,HU,041100,2021,
671,NI,I15,IE,041100,2021,
672,NI,I15,IT,041100,2021,
673,NI,I15,LT,041100,2021,
674,NI,I15,LV,041100,2021,
675,NI,I15,MT,041100,2021,
676,NI,I15,NL,041100,2021,
677,NI,I15,PL,041100,2021,
678,NI,I15,PT,041100,2021,
679,NI,I15,RO,041100,2021,
680,NI,I15,SE,041100,2021,
681,NI,I15,SI,041100,2021,
682,NI,I15,SK,041100,2021,
683,NI,I15,UK,041100,2021,
684,NI,I15,AT,041200,2021,
685,NI,I15,BE,041200,2021,
686,NI,I15,BG,041200,2021,
687,NI,I15,CY,041200,2021,
688,NI,I15,CZ,041200,2021,
689,NI,I15,DE,041200,2021,
690,NI,I15,DK,041200,2021,
691,NI,I15,EE,041200,2021,
692,NI,I15,EL,041200,2021,
693,NI,I15,ES,041200,2021,
694,NI,I15,EU27_2020,041200,2021,
695,NI,I15,EU28,041200,2021,
696,NI,I15,FI,041200,2021,
697,NI,I15,FR,041200,2021,
698,NI,I15,HR,041200,2021,
