"Statistic","Quarter","Regional Veterinary Offices","UNIT","VALUE"
"Herds in County","2015Q2","Kilkenny","Number","3220"
"Herds in County","2015Q2","Laois","Number","2944"
"Herds in County","2015Q2","Leitrim","Number","3061"
"Herds in County","2015Q2","Limerick","Number","5569"
"Herds in County","2015Q2","Longford","Number","2449"
"Herds in County","2015Q2","Louth","Number","1229"
"Herds in County","2015Q2","Mayo","Number","9522"
"Herds in County","2015Q2","Meath","Number","3762"
"Herds in County","2015Q2","Monaghan","Number","4283"
"Herds in County","2015Q2","Offaly","Number","3148"
"Herds in County","2015Q2","Roscommon","Number","5511"
"Herds in County","2015Q2","Sligo","Number","3624"
"Herds in County","2015Q2","Tipperary North","Number","3493"
"Herds in County","2015Q2","Tipperary South","Number","3488"
"Herds in County","2015Q2","Waterford","Number","2277"
"Herds in County","2015Q2","Westmeath","Number","3067"
"Herds in County","2015Q2","Wexford","Number","3137"
"Herds in County","2015Q2","Wicklow E","Number","1092"
"Herds in County","2015Q2","Wicklow W","Number","565"
"Herds in County","2015Q3","State","Number","116917"
"Herds in County","2015Q3","Carlow","Number","1361"
"Herds in County","2015Q3","Cavan","Number","4908"
"Herds in County","2015Q3","Clare","Number","6263"
"Herds in County","2015Q3","Cork North","Number","5943"
"Herds in County","2015Q3","Cork South","Number","6262"
"Herds in County","2015Q3","Donegal","Number","5579"
"Herds in County","2015Q3","Dublin","Number","406"
"Herds in County","2015Q3","Galway","Number","11637"
"Herds in County","2015Q3","Kerry","Number","6922"
"Herds in County","2015Q3","Kildare","Number","1977"
"Herds in County","2015Q3","Kilkenny","Number","3223"
"Herds in County","2015Q3","Laois","Number","2952"
"Herds in County","2015Q3","Leitrim","Number","3066"
"Herds in County","2015Q3","Limerick","Number","5595"
"Herds in County","2015Q3","Longford","Number","2452"
"Herds in County","2015Q3","Louth","Number","1232"
"Herds in County","2015Q3","Mayo","Number","9528"
"Herds in County","2015Q3","Meath","Number","3777"
"Herds in County","2015Q3","Monaghan","Number","4304"
"Herds in County","2015Q3","Offaly","Number","3174"
"Herds in County","2015Q3","Roscommon","Number","5553"
"Herds in County","2015Q3","Sligo","Number","3629"
"Herds in County","2015Q3","Tipperary North","Number","3512"
"Herds in County","2015Q3","Tipperary South","Number","3516"
"Herds in County","2015Q3","Waterford","Number","2279"
"Herds in County","2015Q3","Westmeath","Number","3088"
"Herds in County","2015Q3","Wexford","Number","3125"
"Herds in County","2015Q3","Wicklow E","Number","1088"
"Herds in County","2015Q3","Wicklow W","Number","566"
"Herds in County","2015Q4","State","Number","115091"
"Herds in County","2015Q4","Carlow","Number","1330"
"Herds in County","2015Q4","Cavan","Number","4820"
"Herds in County","2015Q4","Clare","Number","6203"
"Herds in County","2015Q4","Cork North","Number","5799"
"Herds in County","2015Q4","Cork South","Number","6130"
"Herds in County","2015Q4","Donegal","Number","5597"
"Herds in County","2015Q4","Dublin","Number","386"
"Herds in County","2015Q4","Galway","Number","11411"
"Herds in County","2015Q4","Kerry","Number","6818"
"Herds in County","2015Q4","Kildare","Number","1927"
"Herds in County","2015Q4","Kilkenny","Number","3173"
"Herds in County","2015Q4","Laois","Number","2922"
"Herds in County","2015Q4","Leitrim","Number","3023"
"Herds in County","2015Q4","Limerick","Number","5507"
"Herds in County","2015Q4","Longford","Number","2414"
"Herds in County","2015Q4","Louth","Number","1228"
"Herds in County","2015Q4","Mayo","Number","9338"
"Herds in County","2015Q4","Meath","Number","3782"
"Herds in County","2015Q4","Monaghan","Number","4253"
"Herds in County","2015Q4","Offaly","Number","3124"
"Herds in County","2015Q4","Roscommon","Number","5485"
"Herds in County","2015Q4","Sligo","Number","3566"
"Herds in County","2015Q4","Tipperary North","Number","3442"
"Herds in County","2015Q4","Tipperary South","Number","3440"
"Herds in County","2015Q4","Waterford","Number","2250"
"Herds in County","2015Q4","Westmeath","Number","3037"
"Herds in County","2015Q4","Wexford","Number","3059"
"Herds in County","2015Q4","Wicklow E","Number","1071"
"Herds in County","2015Q4","Wicklow W","Number","556"
"Herds in County","2016Q1","State","Number","115066"
"Herds in County","2016Q1","Carlow","Number","1335"
"Herds in County","2016Q1","Cavan","Number","4827"
"Herds in County","2016Q1","Clare","Number","6218"
"Herds in County","2016Q1","Cork North","Number","5801"
"Herds in County","2016Q1","Cork South","Number","6118"
"Herds in County","2016Q1","Donegal","Number","5452"
"Herds in County","2016Q1","Dublin","Number","388"
"Herds in County","2016Q1","Galway","Number","11358"
"Herds in County","2016Q1","Kerry","Number","6834"
"Herds in County","2016Q1","Kildare","Number","1934"
"Herds in County","2016Q1","Kilkenny","Number","3175"
"Herds in County","2016Q1","Laois","Number","2927"
"Herds in County","2016Q1","Leitrim","Number","3030"
"Herds in County","2016Q1","Limerick","Number","5533"
"Herds in County","2016Q1","Longford","Number","2417"
"Herds in County","2016Q1","Louth","Number","1222"
"Herds in County","2016Q1","Mayo","Number","9360"
"Herds in County","2016Q1","Meath","Number","3754"
"Herds in County","2016Q1","Monaghan","Number","4253"
"Herds in County","2016Q1","Offaly","Number","3129"
"Herds in County","2016Q1","Roscommon","Number","5497"
"Herds in County","2016Q1","Sligo","Number","3578"
"Herds in County","2016Q1","Tipperary North","Number","3458"
"Herds in County","2016Q1","Tipperary South","Number","3458"
"Herds in County","2016Q1","Waterford","Number","2253"
"Herds in County","2016Q1","Westmeath","Number","3048"
"Herds in County","2016Q1","Wexford","Number","3075"
"Herds in County","2016Q1","Wicklow E","Number","1074"
"Herds in County","2016Q1","Wicklow W","Number","560"
"Herds in County","2016Q2","State","Number","115781"
"Herds in County","2016Q2","Carlow","Number","1339"
"Herds in County","2016Q2","Cavan","Number","4859"
"Herds in County","2016Q2","Clare","Number","6241"
"Herds in County","2016Q2","Cork North","Number","5844"
"Herds in County","2016Q2","Cork South","Number","6174"
"Herds in County","2016Q2","Donegal","Number","5494"
"Herds in County","2016Q2","Dublin","Number","393"
"Herds in County","2016Q2","Galway","Number","11424"
"Herds in County","2016Q2","Kerry","Number","6871"
"Herds in County","2016Q2","Kildare","Number","1958"
"Herds in County","2016Q2","Kilkenny","Number","3186"
"Herds in County","2016Q2","Laois","Number","2953"
"Herds in County","2016Q2","Leitrim","Number","3042"
"Herds in County","2016Q2","Limerick","Number","5559"
"Herds in County","2016Q2","Longford","Number","2437"
"Herds in County","2016Q2","Louth","Number","1234"
"Herds in County","2016Q2","Mayo","Number","9407"
"Herds in County","2016Q2","Meath","Number","3779"
"Herds in County","2016Q2","Monaghan","Number","4274"
"Herds in County","2016Q2","Offaly","Number","3143"
"Herds in County","2016Q2","Roscommon","Number","5523"
"Herds in County","2016Q2","Sligo","Number","3612"
"Herds in County","2016Q2","Tipperary North","Number","3479"
"Herds in County","2016Q2","Tipperary South","Number","3478"
"Herds in County","2016Q2","Waterford","Number","2257"
"Herds in County","2016Q2","Westmeath","Number","3075"
"Herds in County","2016Q2","Wexford","Number","3102"
"Herds in County","2016Q2","Wicklow E","Number","1081"
"Herds in County","2016Q2","Wicklow W","Number","563"
"Herds in County","2016Q3","State","Number","115862"
"Herds in County","2016Q3","Carlow","Number","1340"
"Herds in County","2016Q3","Cavan","Number","4876"
"Herds in County","2016Q3","Clare","Number","6250"
"Herds in County","2016Q3","Cork North","Number","5860"
"Herds in County","2016Q3","Cork South","Number","6181"
"Herds in County","2016Q3","Donegal","Number","5506"
"Herds in County","2016Q3","Dublin","Number","393"
"Herds in County","2016Q3","Galway","Number","11430"
"Herds in County","2016Q3","Kerry","Number","6881"
"Herds in County","2016Q3","Kildare","Number","1966"
"Herds in County","2016Q3","Kilkenny","Number","3195"
"Herds in County","2016Q3","Laois","Number","2959"
"Herds in County","2016Q3","Leitrim","Number","2975"
"Herds in County","2016Q3","Limerick","Number","5569"
"Herds in County","2016Q3","Longford","Number","2412"
"Herds in County","2016Q3","Louth","Number","1238"
"Herds in County","2016Q3","Mayo","Number","9424"
"Herds in County","2016Q3","Meath","Number","3790"
"Herds in County","2016Q3","Monaghan","Number","4295"
"Herds in County","2016Q3","Offaly","Number","3151"
"Herds in County","2016Q3","Roscommon","Number","5546"
"Herds in County","2016Q3","Sligo","Number","3540"
"Herds in County","2016Q3","Tipperary North","Number","3489"
"Herds in County","2016Q3","Tipperary South","Number","3491"
"Herds in County","2016Q3","Waterford","Number","2259"
"Herds in County","2016Q3","Westmeath","Number","3082"
"Herds in County","2016Q3","Wexford","Number","3114"
"Herds in County","2016Q3","Wicklow E","Number","1087"
"Herds in County","2016Q3","Wicklow W","Number","563"
"Herds in County","2016Q4","State","Number","114705"
"Herds in County","2016Q4","Carlow","Number","1325"
"Herds in County","2016Q4","Cavan","Number","4875"
"Herds in County","2016Q4","Clare","Number","6164"
"Herds in County","2016Q4","Cork North","Number","5874"
"Herds in County","2016Q4","Cork South","Number","6190"
"Herds in County","2016Q4","Donegal","Number","5375"
"Herds in County","2016Q4","Dublin","Number","379"
"Herds in County","2016Q4","Galway","Number","11212"
"Herds in County","2016Q4","Kerry","Number","6893"
"Herds in County","2016Q4","Kildare","Number","1910"
"Herds in County","2016Q4","Kilkenny","Number","3120"
"Herds in County","2016Q4","Laois","Number","2880"
"Herds in County","2016Q4","Leitrim","Number","2979"
"Herds in County","2016Q4","Limerick","Number","5457"
"Herds in County","2016Q4","Longford","Number","2407"
"Herds in County","2016Q4","Louth","Number","1220"
"Herds in County","2016Q4","Mayo","Number","9193"
"Herds in County","2016Q4","Meath","Number","3721"
"Herds in County","2016Q4","Monaghan","Number","4298"
"Herds in County","2016Q4","Offaly","Number","3164"
"Herds in County","2016Q4","Roscommon","Number","5497"
"Herds in County","2016Q4","Sligo","Number","3547"
"Herds in County","2016Q4","Tipperary North","Number","3499"
"Herds in County","2016Q4","Tipperary South","Number","3493"
"Herds in County","2016Q4","Waterford","Number","2214"
"Herds in County","2016Q4","Westmeath","Number","3090"
"Herds in County","2016Q4","Wexford","Number","3092"
"Herds in County","2016Q4","Wicklow E","Number","1083"
"Herds in County","2016Q4","Wicklow W","Number","554"
"Herds in County","2017Q1","State","Number","114277"
"Herds in County","2017Q1","Carlow","Number","1328"
"Herds in County","2017Q1","Cavan","Number","4845"
"Herds in County","2017Q1","Clare","Number","6171"
"Herds in County","2017Q1","Cork North","Number","5754"
"Herds in County","2017Q1","Cork South","Number","6061"
"Herds in County","2017Q1","Donegal","Number","5397"
"Herds in County","2017Q1","Dublin","Number","382"
"Herds in County","2017Q1","Galway","Number","11241"
"Herds in County","2017Q1","Kerry","Number","6703"
"Herds in County","2017Q1","Kildare","Number","1917"
"Herds in County","2017Q1","Kilkenny","Number","3127"
"Herds in County","2017Q1","Laois","Number","2888"
"Herds in County","2017Q1","Leitrim","Number","2985"
"Herds in County","2017Q1","Limerick","Number","5481"
"Herds in County","2017Q1","Longford","Number","2408"
"Herds in County","2017Q1","Louth","Number","1218"
"Herds in County","2017Q1","Mayo","Number","9205"
"Herds in County","2017Q1","Meath","Number","3716"
"Herds in County","2017Q1","Monaghan","Number","4269"
"Herds in County","2017Q1","Offaly","Number","3138"
"Herds in County","2017Q1","Roscommon","Number","5507"
"Herds in County","2017Q1","Sligo","Number","3554"
"Herds in County","2017Q1","Tipperary North","Number","3480"
"Herds in County","2017Q1","Tipperary South","Number","3466"
"Herds in County","2017Q1","Waterford","Number","2217"
"Herds in County","2017Q1","Westmeath","Number","3079"
"Herds in County","2017Q1","Wexford","Number","3096"
"Herds in County","2017Q1","Wicklow E","Number","1086"
"Herds in County","2017Q1","Wicklow W","Number","558"
"Herds in County","2017Q2","State","Number","114698"
"Herds in County","2017Q2","Carlow","Number","1332"
"Herds in County","2017Q2","Cavan","Number","4871"
"Herds in County","2017Q2","Clare","Number","6195"
"Herds in County","2017Q2","Cork North","Number","5797"
"Herds in County","2017Q2","Cork South","Number","6103"
"Herds in County","2017Q2","Donegal","Number","5429"
"Herds in County","2017Q2","Dublin","Number","390"
"Herds in County","2017Q2","Galway","Number","11298"
"Herds in County","2017Q2","Kerry","Number","6733"
"Herds in County","2017Q2","Kildare","Number","1934"
"Herds in County","2017Q2","Kilkenny","Number","3136"
"Herds in County","2017Q2","Laois","Number","2911"
"Herds in County","2017Q2","Leitrim","Number","2927"
"Herds in County","2017Q2","Limerick","Number","5514"
"Herds in County","2017Q2","Longford","Number","2373"
"Herds in County","2017Q2","Louth","Number","1222"
"Herds in County","2017Q2","Mayo","Number","9255"
"Herds in County","2017Q2","Meath","Number","3739"
"Herds in County","2017Q2","Monaghan","Number","4283"
"Herds in County","2017Q2","Offaly","Number","3155"
"Herds in County","2017Q2","Roscommon","Number","5537"
"Herds in County","2017Q2","Sligo","Number","3500"
"Herds in County","2017Q2","Tipperary North","Number","3497"
"Herds in County","2017Q2","Tipperary South","Number","3485"
"Herds in County","2017Q2","Waterford","Number","2229"
"Herds in County","2017Q2","Westmeath","Number","3096"
"Herds in County","2017Q2","Wexford","Number","3102"
"Herds in County","2017Q2","Wicklow E","Number","1093"
"Herds in County","2017Q2","Wicklow W","Number","562"
"Herds in County","2017Q3","State","Number","114986"
"Herds in County","2017Q3","Carlow","Number","1338"
"Herds in County","2017Q3","Cavan","Number","4887"
"Herds in County","2017Q3","Clare","Number","6200"
"Herds in County","2017Q3","Cork North","Number","5815"
"Herds in County","2017Q3","Cork South","Number","6114"
"Herds in County","2017Q3","Donegal","Number","5445"
"Herds in County","2017Q3","Dublin","Number","392"
"Herds in County","2017Q3","Galway","Number","11322"
"Herds in County","2017Q3","Kerry","Number","6745"
"Herds in County","2017Q3","Kildare","Number","1947"
"Herds in County","2017Q3","Kilkenny","Number","3141"
"Herds in County","2017Q3","Laois","Number","2919"
"Herds in County","2017Q3","Leitrim","Number","2938"
"Herds in County","2017Q3","Limerick","Number","5525"
"Herds in County","2017Q3","Longford","Number","2378"
"Herds in County","2017Q3","Louth","Number","1220"
"Herds in County","2017Q3","Mayo","Number","9256"
"Herds in County","2017Q3","Meath","Number","3751"
"Herds in County","2017Q3","Monaghan","Number","4302"
"Herds in County","2017Q3","Offaly","Number","3164"
"Herds in County","2017Q3","Roscommon","Number","5555"
"Herds in County","2017Q3","Sligo","Number","3502"
"Herds in County","2017Q3","Tipperary North","Number","3503"
"Herds in County","2017Q3","Tipperary South","Number","3499"
"Herds in County","2017Q3","Waterford","Number","2233"
"Herds in County","2017Q3","Westmeath","Number","3117"
"Herds in County","2017Q3","Wexford","Number","3115"
"Herds in County","2017Q3","Wicklow E","Number","1101"
"Herds in County","2017Q3","Wicklow W","Number","562"
"Herds in County","2017Q4","State","Number","113697"
