"Statistic","Year","Regional Veterinary Offices","UNIT","VALUE"
"Herds Tested","2017","Wexford","Number","3020"
"Herds Tested","2017","Wicklow E","Number","1055"
"Herds Tested","2017","Wicklow W","Number","552"
"Herds Tested","2018","State","Number","110454"
"Herds Tested","2018","Carlow","Number","1273"
"Herds Tested","2018","Cavan","Number","4799"
"Herds Tested","2018","Clare","Number","5969"
"Herds Tested","2018","Cork North","Number","5649"
"Herds Tested","2018","Cork South","Number","5930"
"Herds Tested","2018","Donegal","Number","5126"
"Herds Tested","2018","Dublin","Number","357"
"Herds Tested","2018","Galway","Number","10822"
"Herds Tested","2018","Kerry","Number","6570"
"Herds Tested","2018","Kildare","Number","1791"
"Herds Tested","2018","Kilkenny","Number","3009"
"Herds Tested","2018","Laois","Number","2779"
"Herds Tested","2018","Leitrim","Number","2868"
"Herds Tested","2018","Limerick","Number","5261"
"Herds Tested","2018","Longford","Number","2333"
"Herds Tested","2018","Louth","Number","1147"
"Herds Tested","2018","Mayo","Number","8771"
"Herds Tested","2018","Meath","Number","3581"
"Herds Tested","2018","Monaghan","Number","4164"
"Herds Tested","2018","Offaly","Number","3081"
"Herds Tested","2018","Roscommon","Number","5294"
"Herds Tested","2018","Sligo","Number","3400"
"Herds Tested","2018","Tipperary North","Number","3400"
"Herds Tested","2018","Tipperary South","Number","3362"
"Herds Tested","2018","Waterford","Number","2124"
"Herds Tested","2018","Westmeath","Number","3047"
"Herds Tested","2018","Wexford","Number","2982"
"Herds Tested","2018","Wicklow E","Number","1030"
"Herds Tested","2018","Wicklow W","Number","535"
"Herds Tested","2019","State","Number","109175"
"Herds Tested","2019","Carlow","Number","1270"
"Herds Tested","2019","Cavan","Number","4744"
"Herds Tested","2019","Clare","Number","5845"
"Herds Tested","2019","Cork North","Number","5588"
"Herds Tested","2019","Cork South","Number","5798"
"Herds Tested","2019","Donegal","Number","5043"
"Herds Tested","2019","Dublin","Number","337"
"Herds Tested","2019","Galway","Number","10698"
"Herds Tested","2019","Kerry","Number","6494"
"Herds Tested","2019","Kildare","Number","1697"
"Herds Tested","2019","Kilkenny","Number","3027"
